class_id,class_name,precision,recall,f1,support,accuracy
0,Brocoli_green_weeds_1,1.0,0.9979889391654098,0.9989934574735783,1989,0.9979889391654098
1,Brocoli_green_weeds_2,0.9989215421946617,0.9997301672962763,0.9993256911665542,3706,0.9997301672962763
2,Fallow,0.9969418960244648,1.0,0.998468606431853,1956,1.0
3,Fallow_rough_plow,0.8881706528765352,1.0,0.9407737076343717,1374,1.0
4,Fallow_smooth,0.9968602825745683,0.9556057185854026,0.9757971571263926,2658,0.9556057185854026
5,Stubble,0.999491482329011,0.997969027671998,0.998729674796748,3939,0.997969027671998
6,Celery,1.0,0.9980331553807249,0.9990156096189003,3559,0.9980331553807249
7,Grapes_untrained,0.9477762125176091,0.8371700293307262,0.8890462032186511,11251,0.8371700293307262
8,Soil_vinyard_develop,0.9998382923673997,1.0,0.9999191396458317,6183,1.0
9,Corn_senesced_green_weeds,0.9947948560930803,0.9972375690607734,0.9960147148988351,3258,0.9972375690607734
10,Lettuce_romaine_4wk,0.9475587703435805,1.0,0.9730733519034355,1048,1.0
11,Lettuce_romaine_5wk,1.0,0.9449396958573676,0.9716904826098679,1907,0.9449396958573676
12,Lettuce_romaine_6wk,0.9481481481481482,1.0,0.973384030418251,896,1.0
13,Lettuce_romaine_7wk,0.99335232668566,0.9961904761904762,0.9947693770803614,1050,0.9961904761904762
14,Vinyard_untrained,0.7860339142722562,0.9209437086092715,0.8481575603557815,7248,0.9209437086092715
15,Vinyard_vertical_trellis,1.0,1.0,1.0,1787,1.0
