class_id,class_name,precision,recall,f1,support,accuracy
0,Brocoli_green_weeds_1,0.9979929754139488,1.0,0.9989954796584631,1989,1.0
1,Brocoli_green_weeds_2,1.0,1.0,1.0,3706,1.0
2,Fallow,0.9908814589665653,1.0,0.9954198473282443,1956,1.0
3,Fallow_rough_plow,0.6765140324963073,1.0,0.8070484581497798,1374,1.0
4,Fallow_smooth,1.0,0.7821670428893905,0.8777707409753008,2658,0.7821670428893905
5,Stubble,0.9752413963852439,1.0,0.9874655302080722,3939,1.0
6,Celery,1.0,0.9719022197246417,0.9857509261897976,3559,0.9719022197246417
7,Grapes_untrained,0.9150473343298455,0.326459870233757,0.4812315754995087,11251,0.326459870233757
8,Soil_vinyard_develop,0.9929339971093625,1.0,0.9964544721998388,6183,1.0
9,Corn_senesced_green_weeds,0.9977338944642279,0.9459791282995703,0.9711674806995431,3258,0.9459791282995703
10,Lettuce_romaine_4wk,0.9595588235294118,0.9961832061068703,0.9775280898876404,1048,0.9961832061068703
11,Lettuce_romaine_5wk,1.0,0.9973780807551127,0.9986873195064321,1907,0.9973780807551127
12,Lettuce_romaine_6wk,0.995079950799508,0.9029017857142857,0.946752486834406,896,0.9029017857142857
13,Lettuce_romaine_7wk,0.8677685950413223,1.0,0.9292035398230089,1050,1.0
14,Vinyard_untrained,0.47423253229615225,0.9420529801324503,0.6308786842834704,7248,0.9420529801324503
15,Vinyard_vertical_trellis,1.0,1.0,1.0,1787,1.0
