dataset,shot,model,loss_type,seed,oa,aa,kappa,macro_f1,weighted_f1
pavia_university,10,spectral_qnn_residualsafe_gated_supcon,SupCon,0,0.8823363696121701,0.882664575878857,0.8472230717933577,0.8357961905250482,0.8857452565217706
pavia_university,10,spectral_qnn_residualsafe_gated_supcon,SupCon,1,0.814747863649169,0.8076134579044755,0.7622118645687114,0.7711223189003451,0.8200776062328501
pavia_university,10,spectral_qnn_residualsafe_gated_supcon,SupCon,2,0.8463235984599493,0.8985016646556415,0.8051763255242185,0.8491651222468674,0.8611641385760336
pavia_university,10,spectral_qnn_residualsafe_gated_supcon,SupCon,3,0.8449854446426894,0.8805421660859699,0.8000188787333142,0.8570528590081692,0.8469280917185239
pavia_university,10,spectral_qnn_residualsafe_gated_supcon,SupCon,4,0.8330359658183867,0.8735852410377083,0.7878898604909308,0.8319408812110939,0.8471866122505856
salinas,10,spectral_qnn_residualsafe_gated_supcon,SupCon,0,0.8336895314910145,0.9290640196160049,0.8168552546590836,0.9115221644527192,0.8238759989240656
salinas,10,spectral_qnn_residualsafe_gated_supcon,SupCon,1,0.9505473062127153,0.9778630304467767,0.9450314186267871,0.9723224227737133,0.9510186702208148
salinas,10,spectral_qnn_residualsafe_gated_supcon,SupCon,2,0.938820643386794,0.9687709535294013,0.9318485254261761,0.96434893420645,0.9384848352611419
salinas,10,spectral_qnn_residualsafe_gated_supcon,SupCon,3,0.918117786987307,0.9621264585615363,0.9090510997072305,0.9546240464466178,0.9192132879387205
salinas,10,spectral_qnn_residualsafe_gated_supcon,SupCon,4,0.9297143600512925,0.9631470454124391,0.92206061792048,0.9534948032572179,0.9305647474890174
