class_id,class_name,precision,recall,f1,support,accuracy
0,Brocoli_green_weeds_1,1.0,1.0,1.0,1989,1.0
1,Brocoli_green_weeds_2,0.9991911566459962,1.0,0.9995954146999325,3706,1.0
2,Fallow,0.998468606431853,1.0,0.9992337164750957,1956,1.0
3,Fallow_rough_plow,0.8571428571428571,0.9781659388646288,0.9136641740312712,1374,0.9781659388646288
4,Fallow_smooth,0.9885452462772051,0.9740406320541761,0.9812393405343945,2658,0.9740406320541761
5,Stubble,0.996206373292868,1.0,0.9980995819080197,3939,1.0
6,Celery,1.0,0.9974711997752178,0.9987339991559995,3559,0.9974711997752178
7,Grapes_untrained,0.8619283172784865,0.8827659763576571,0.8722227101080179,11251,0.8827659763576571
8,Soil_vinyard_develop,0.9899135446685879,1.0,0.9949312092686459,6183,1.0
9,Corn_senesced_green_weeds,0.9860228716645489,0.952731737262124,0.9690914767405557,3258,0.952731737262124
10,Lettuce_romaine_4wk,0.9632352941176471,1.0,0.9812734082397003,1048,1.0
11,Lettuce_romaine_5wk,0.9978824775013234,0.9884635553224961,0.9931506849315068,1907,0.9884635553224961
12,Lettuce_romaine_6wk,0.9595628415300547,0.9799107142857143,0.969630038652678,896,0.9799107142857143
13,Lettuce_romaine_7wk,0.9416590701914311,0.9838095238095238,0.9622729389846297,1050,0.9838095238095238
14,Vinyard_untrained,0.8177673187233416,0.7671081677704195,0.7916281056453335,7248,0.7671081677704195
15,Vinyard_vertical_trellis,1.0,0.9826524902070509,0.9912503528083545,1787,0.9826524902070509
