dataset,model,shot,seed,epoch,train_loss,train_ce_loss,train_supcon_loss,train_accuracy,val_loss,val_OA,val_AA,val_Kappa,val_Macro-F1,val_Weighted-F1
salinas,spectral_qnn_gated_supcon,10,1,1,2.727303671836853,2.6157708883285524,0.5576638579368591,0.175,2.2658504962921144,0.3625,0.3625,0.31999999999999995,0.28869487558511947,0.28869487558511947
salinas,spectral_qnn_gated_supcon,10,1,2,2.0888142466545103,1.99171222448349,0.48551007360219955,0.46875,1.7462101578712463,0.5625,0.5625,0.5333333333333333,0.5033068783068784,0.5033068783068784
salinas,spectral_qnn_gated_supcon,10,1,3,1.6045342087745667,1.498257851600647,0.5313818633556366,0.7,1.3144156157970428,0.75625,0.75625,0.74,0.697300514181412,0.6973005141814119
salinas,spectral_qnn_gated_supcon,10,1,4,1.168702530860901,1.0881641805171967,0.40269168466329575,0.84375,0.9654650747776031,0.8875,0.8875,0.88,0.8654830732133363,0.8654830732133364
salinas,spectral_qnn_gated_supcon,10,1,5,0.8675412058830261,0.7733048975467682,0.4711815521121025,0.93125,0.6984145879745484,0.93125,0.93125,0.9266666666666666,0.919329573934837,0.9193295739348372
salinas,spectral_qnn_gated_supcon,10,1,6,0.6355967819690704,0.5501575887203216,0.42719593197107314,0.94375,0.511218586564064,0.9625,0.9625,0.96,0.9609375,0.9609375
salinas,spectral_qnn_gated_supcon,10,1,7,0.4912621259689331,0.39686982333660126,0.4719615042209625,0.975,0.3946355938911438,0.98125,0.98125,0.98,0.9808184143222507,0.9808184143222507
salinas,spectral_qnn_gated_supcon,10,1,8,0.3895057708024979,0.3001083269715309,0.44698719382286073,1.0,0.31385865807533264,0.9875,0.9875,0.9866666666666667,0.9873737373737373,0.9873737373737373
salinas,spectral_qnn_gated_supcon,10,1,9,0.33205930292606356,0.23772698491811753,0.47166159451007844,1.0,0.2637143909931183,0.9875,0.9875,0.9866666666666667,0.9873737373737373,0.9873737373737373
salinas,spectral_qnn_gated_supcon,10,1,10,0.30679193139076233,0.1984545812010765,0.5416867524385452,0.99375,0.2292798340320587,1.0,1.0,1.0,1.0,1.0
salinas,spectral_qnn_gated_supcon,10,1,11,0.26458718478679655,0.1673401676118374,0.48623507618904116,0.99375,0.20184215232729913,1.0,1.0,1.0,1.0,1.0
salinas,spectral_qnn_gated_supcon,10,1,12,0.22679719030857087,0.14709847122430803,0.3984935723245144,1.0,0.18225698694586753,0.9875,0.9875,0.9866666666666667,0.9873737373737373,0.9873737373737373
salinas,spectral_qnn_gated_supcon,10,1,13,0.21775308549404143,0.13020772039890288,0.43772682547569275,1.0,0.16724883764982224,0.99375,0.99375,0.9933333333333333,0.9937343358395989,0.993734335839599
salinas,spectral_qnn_gated_supcon,10,1,14,0.22926657497882844,0.1180363155901432,0.5561512902379036,1.0,0.15424832999706267,1.0,1.0,1.0,1.0,1.0
salinas,spectral_qnn_gated_supcon,10,1,15,0.20357581228017807,0.10583757646381856,0.4886911705136299,1.0,0.14315048679709436,1.0,1.0,1.0,1.0,1.0
salinas,spectral_qnn_gated_supcon,10,1,16,0.17544550746679305,0.0985802385956049,0.38432632982730863,0.99375,0.13574503287672995,0.98125,0.98125,0.98,0.9808184143222507,0.9808184143222507
salinas,spectral_qnn_gated_supcon,10,1,17,0.18265488296747207,0.08825391568243504,0.4720048367977142,1.0,0.1262140352278948,0.99375,0.99375,0.9933333333333333,0.9937343358395989,0.993734335839599
salinas,spectral_qnn_gated_supcon,10,1,18,0.15675680339336395,0.08188227638602256,0.37437263280153277,1.0,0.11903964690864086,0.99375,0.99375,0.9933333333333333,0.9937343358395989,0.993734335839599
salinas,spectral_qnn_gated_supcon,10,1,19,0.16225123703479766,0.07453207112848759,0.43859581723809243,1.0,0.11389834173023701,0.9875,0.9875,0.9866666666666667,0.9873737373737373,0.9873737373737373
salinas,spectral_qnn_gated_supcon,10,1,20,0.1431134358048439,0.06834118589758872,0.3738612599670887,1.0,0.11116973385214805,0.98125,0.98125,0.98,0.9808184143222507,0.9808184143222507
