dataset,model,shot,seed,OA,AA,Kappa,Macro-F1,Weighted-F1,best_epoch,train_time_seconds,test_time_seconds,trainable_parameters,train_size,validation_size,test_size
pavia_university,spectral_qnn_reupload_multiobs_gated_supcon,10,0,0.9063996619400883,0.9058418014189971,0.8780681883895,0.8635689255429102,0.9093113611990895,16,26.750640869140625,135.40037393569946,1563,90,90,42596
pavia_university,spectral_qnn_reupload_multiobs_gated_supcon,10,1,0.8690017842050897,0.9041923108975942,0.8316998886012723,0.8679203038588957,0.8745825398669418,20,31.071302890777588,133.00638008117676,1563,90,90,42596
pavia_university,spectral_qnn_reupload_multiobs_gated_supcon,10,2,0.8719832848154756,0.9366647184694601,0.8374715218115635,0.8890396604449412,0.8838288550416323,13,23.743268966674805,133.1864731311798,1563,90,90,42596
pavia_university,spectral_qnn_reupload_multiobs_gated_supcon,10,3,0.8550333364635176,0.9019799101580672,0.8129131252308479,0.8790458410193138,0.8568293688924868,10,20.612199306488037,132.92484283447266,1563,90,90,42596
pavia_university,spectral_qnn_reupload_multiobs_gated_supcon,10,4,0.8475208939806554,0.9005177808297743,0.8060464763536221,0.8597568278570005,0.8606980194281568,11,21.705323696136475,133.16964292526245,1563,90,90,42596
salinas,spectral_qnn_reupload_multiobs_gated_supcon,10,0,0.8635358397294133,0.9384370133096397,0.8478273666955083,0.9332980474208848,0.8610398670618957,15,45.755415201187134,168.072035074234,2326,160,160,53809
salinas,spectral_qnn_reupload_multiobs_gated_supcon,10,1,0.9468118716199893,0.9764953736719932,0.9409016833109084,0.972857615420051,0.9473550278023175,10,36.52741503715515,168.0325300693512,2326,160,160,53809
salinas,spectral_qnn_reupload_multiobs_gated_supcon,10,2,0.9018379824936349,0.9567008841776419,0.8907593546760766,0.9513772180577089,0.901889410181268,11,38.38069987297058,168.0915403366089,2326,160,160,53809
salinas,spectral_qnn_reupload_multiobs_gated_supcon,10,3,0.916872642123065,0.9640381315054132,0.9075001644031581,0.9599359818980423,0.9172878651520191,19,53.83901119232178,167.97216892242432,2326,160,160,53809
salinas,spectral_qnn_reupload_multiobs_gated_supcon,10,4,0.9380586890668847,0.9746364962943286,0.9312781210507447,0.9672937993789315,0.93865345950237,13,42.09294295310974,167.92376613616943,2326,160,160,53809
