class_id,class_name,precision,recall,f1,support,accuracy
0,Brocoli_green_weeds_1,1.0,1.0,1.0,1989,1.0
1,Brocoli_green_weeds_2,1.0,1.0,1.0,3706,1.0
2,Fallow,0.9804511278195489,1.0,0.9901290812452543,1956,1.0
3,Fallow_rough_plow,0.8921377517868746,0.9992721979621543,0.9426707861311363,1374,0.9992721979621543
4,Fallow_smooth,0.9992169146436961,0.9601203912716328,0.9792785878741366,2658,0.9601203912716328
5,Stubble,1.0,1.0,1.0,3939,1.0
6,Celery,1.0,1.0,1.0,3559,1.0
7,Grapes_untrained,0.8323471400394478,0.7876633188161052,0.8093889852954608,11251,0.7876633188161052
8,Soil_vinyard_develop,0.9993534831097463,1.0,0.9996766370250606,6183,1.0
9,Corn_senesced_green_weeds,0.9990509332489719,0.9693063228974831,0.9839538868982708,3258,0.9693063228974831
10,Lettuce_romaine_4wk,0.9641214351425943,1.0,0.9817330210772833,1048,1.0
11,Lettuce_romaine_5wk,0.9994756161510225,0.9994756161510225,0.9994756161510225,1907,0.9994756161510225
12,Lettuce_romaine_6wk,0.9854586129753915,0.9832589285714286,0.9843575418994414,896,0.9832589285714286
13,Lettuce_romaine_7wk,0.9583718778908418,0.9866666666666667,0.9723134678554669,1050,0.9866666666666667
14,Vinyard_untrained,0.6950718685831622,0.7472406181015453,0.7202127659574468,7248,0.7472406181015453
15,Vinyard_vertical_trellis,1.0,0.9916060436485731,0.9957853329586963,1787,0.9916060436485731
