seed,split,class_id,class_name,count
0,train,0,Alfalfa,0
0,train,1,Corn-notill,80
0,train,2,Corn-mintill,216
0,train,3,Corn,0
0,train,4,Grass-pasture,301
0,train,5,Grass-trees,221
0,train,6,Grass-pasture-mowed,0
0,train,7,Hay-windrowed,0
0,train,8,Oats,20
0,train,9,Soybean-notill,0
0,train,10,Soybean-mintill,557
0,train,11,Soybean-clean,0
0,train,12,Wheat,0
0,train,13,Woods,185
0,train,14,Buildings-Grass-Trees-Drives,0
0,train,15,Stone-Steel-Towers,0
0,validation,0,Alfalfa,0
0,validation,1,Corn-notill,441
0,validation,2,Corn-mintill,0
0,validation,3,Corn,0
0,validation,4,Grass-pasture,0
0,validation,5,Grass-trees,86
0,validation,6,Grass-pasture-mowed,0
0,validation,7,Hay-windrowed,0
0,validation,8,Oats,0
0,validation,9,Soybean-notill,0
0,validation,10,Soybean-mintill,110
0,validation,11,Soybean-clean,175
0,validation,12,Wheat,0
0,validation,13,Woods,638
0,validation,14,Buildings-Grass-Trees-Drives,183
0,validation,15,Stone-Steel-Towers,0
0,test,0,Alfalfa,46
0,test,1,Corn-notill,907
0,test,2,Corn-mintill,614
0,test,3,Corn,237
0,test,4,Grass-pasture,182
0,test,5,Grass-trees,423
0,test,6,Grass-pasture-mowed,28
0,test,7,Hay-windrowed,478
0,test,8,Oats,0
0,test,9,Soybean-notill,972
0,test,10,Soybean-mintill,1788
0,test,11,Soybean-clean,418
0,test,12,Wheat,205
0,test,13,Woods,442
0,test,14,Buildings-Grass-Trees-Drives,203
0,test,15,Stone-Steel-Towers,93
1,train,0,Alfalfa,0
1,train,1,Corn-notill,215
1,train,2,Corn-mintill,0
1,train,3,Corn,0
1,train,4,Grass-pasture,0
1,train,5,Grass-trees,379
1,train,6,Grass-pasture-mowed,0
1,train,7,Hay-windrowed,0
1,train,8,Oats,0
1,train,9,Soybean-notill,418
1,train,10,Soybean-mintill,849
1,train,11,Soybean-clean,268
1,train,12,Wheat,0
1,train,13,Woods,65
1,train,14,Buildings-Grass-Trees-Drives,55
1,train,15,Stone-Steel-Towers,93
1,validation,0,Alfalfa,0
1,validation,1,Corn-notill,0
1,validation,2,Corn-mintill,0
1,validation,3,Corn,0
1,validation,4,Grass-pasture,17
1,validation,5,Grass-trees,0
1,validation,6,Grass-pasture-mowed,0
1,validation,7,Hay-windrowed,0
1,validation,8,Oats,0
1,validation,9,Soybean-notill,0
1,validation,10,Soybean-mintill,84
1,validation,11,Soybean-clean,0
1,validation,12,Wheat,0
1,validation,13,Woods,839
1,validation,14,Buildings-Grass-Trees-Drives,0
1,validation,15,Stone-Steel-Towers,0
1,test,0,Alfalfa,46
1,test,1,Corn-notill,1213
1,test,2,Corn-mintill,830
1,test,3,Corn,237
1,test,4,Grass-pasture,466
1,test,5,Grass-trees,351
1,test,6,Grass-pasture-mowed,28
1,test,7,Hay-windrowed,478
1,test,8,Oats,20
1,test,9,Soybean-notill,554
1,test,10,Soybean-mintill,1522
1,test,11,Soybean-clean,325
1,test,12,Wheat,205
1,test,13,Woods,361
1,test,14,Buildings-Grass-Trees-Drives,331
1,test,15,Stone-Steel-Towers,0
