class_id,class_name,precision,recall,f1,support
0,Alfalfa,0.0,0.0,0.0,46
1,Corn-notill,0.46859903381642515,0.10694597574421169,0.1741472172351885,907
2,Corn-mintill,0.15180467091295116,0.46579804560260585,0.22898318654923938,614
3,Corn,0.0,0.0,0.0,237
4,Grass-pasture,0.5666666666666667,0.09340659340659341,0.16037735849056603,182
5,Grass-trees,0.4308012486992716,0.9787234042553191,0.5982658959537572,423
6,Grass-pasture-mowed,0.0,0.0,0.0,28
7,Hay-windrowed,0.0,0.0,0.0,478
8,Oats,0.0,0.0,0.0,0
9,Soybean-notill,0.0,0.0,0.0,972
10,Soybean-mintill,0.5272357723577236,0.7253914988814317,0.6106403013182674,1788
11,Soybean-clean,0.0,0.0,0.0,418
12,Wheat,0.0,0.0,0.0,205
13,Woods,0.2802160702228224,0.9389140271493213,0.43161726469058764,442
14,Buildings-Grass-Trees-Drives,0.0,0.0,0.0,203
15,Stone-Steel-Towers,0.0,0.0,0.0,93
