0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
1593,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,2982,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,1576,0,1,0,0,0,0,4,1,0,0,0,0,0
0,0,0,1107,9,0,0,0,0,0,0,0,0,0,0,0
0,0,17,8,2110,2,0,0,2,3,0,0,0,0,0,0
0,2,0,0,1,3164,0,0,0,0,0,0,0,0,0,0
0,0,0,0,1,0,2856,6,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,8080,0,55,0,0,0,0,882,0
0,0,0,0,0,0,0,1,4951,9,0,0,2,0,0,0
0,0,30,4,2,1,0,38,22,2480,13,18,0,1,7,6
0,0,7,0,2,0,0,0,1,12,809,23,0,0,0,0
0,0,0,0,0,0,0,0,1,5,0,1535,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,727,6,0,0
0,0,0,0,0,0,0,12,0,10,0,0,26,807,1,0
0,0,1,0,0,0,0,2131,0,13,0,0,0,0,3668,1
0,3,0,0,0,0,4,1,0,2,0,0,0,0,7,1428
