class_id,class_name,precision,recall,f1,support
0,Brocoli_green_weeds_1,1.0,0.9912881144990666,0.995625,1607
1,Brocoli_green_weeds_2,0.9936687770743086,1.0,0.9968243356175831,2982
2,Fallow,0.9662783568362967,0.9962073324905183,0.9810146280734516,1582
3,Fallow_rough_plow,0.9892761394101877,0.9919354838709677,0.9906040268456375,1116
4,Fallow_smooth,0.9924741298212606,0.9850606909430439,0.9887535145267105,2142
5,Stubble,0.999052731291443,0.999052731291443,0.999052731291443,3167
6,Celery,0.9986013986013986,0.9975550122249389,0.9980779311549887,2863
7,Grapes_untrained,0.7868341610672899,0.896085172452035,0.837913512392409,9017
8,Soil_vinyard_develop,0.9947759694595137,0.997582107596212,0.9961770623742455,4963
9,Corn_senesced_green_weeds,0.956421133821828,0.9458428680396643,0.9511025886864813,2622
10,Lettuce_romaine_4wk,0.982989064398542,0.9473067915690867,0.9648181276088252,854
11,Lettuce_romaine_5wk,0.9739847715736041,0.9961064243997404,0.984921398780879,1541
12,Lettuce_romaine_6wk,0.9629139072847682,0.9918144611186903,0.9771505376344086,733
13,Lettuce_romaine_7wk,0.9914004914004914,0.9427570093457944,0.9664670658682635,856
14,Vinyard_untrained,0.8035049288061337,0.6308909528723771,0.7068118315830041,5814
15,Vinyard_vertical_trellis,0.9951219512195122,0.9882352941176471,0.9916666666666667,1445
