0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
12,6,0,0,0,0,0,19,0,0,0,0,0,0,0,0
0,947,4,0,2,2,0,0,0,28,125,33,0,1,0,0
0,7,561,1,0,1,0,0,0,1,65,28,0,0,0,0
0,5,0,108,2,0,0,0,0,0,38,36,0,0,0,0
0,3,0,0,328,27,0,0,0,0,1,9,0,19,0,0
0,0,0,0,10,556,0,0,0,0,4,0,0,12,2,0
0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,376,0,0,0,0,0,3,0,0
0,0,8,0,0,8,0,0,0,0,0,0,0,0,0,0
0,230,4,0,0,12,0,0,0,422,104,2,1,0,3,0
0,113,125,0,5,5,0,0,0,19,1611,75,11,0,1,0
0,85,89,0,2,0,0,0,0,13,44,237,4,0,1,0
0,0,3,0,0,8,0,0,0,0,0,7,146,0,0,0
0,0,0,0,4,0,0,0,0,0,0,0,1,963,44,0
0,0,0,0,0,0,0,0,0,0,0,1,3,0,304,0
0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,71
