class_id,class_name,precision,recall,f1,support
0,Alfalfa,0.0,0.0,0.0,37
1,Corn-notill,0.7552083333333334,0.6348511383537653,0.6898192197906755,1142
2,Corn-mintill,0.5774058577405857,0.6234939759036144,0.5995655322230268,664
3,Corn,0.9821428571428571,0.582010582010582,0.7308970099667774,189
4,Grass-pasture,0.9317269076305221,0.599483204134367,0.7295597484276729,387
5,Grass-trees,0.7131681877444589,0.9366438356164384,0.8097705403404886,584
6,Grass-pasture-mowed,0.0,0.0,0.0,22
7,Hay-windrowed,0.8597285067873304,0.9947643979057592,0.9223300970873787,382
8,Oats,0.0,0.0,0.0,16
9,Soybean-notill,0.5697674418604651,0.7557840616966581,0.6497237569060773,778
10,Soybean-mintill,0.7835671342685371,0.7959287531806616,0.7896995708154506,1965
11,Soybean-clean,0.4909560723514212,0.4,0.4408352668213457,475
12,Wheat,0.7169811320754716,0.23170731707317074,0.35023041474654376,164
13,Woods,0.8769092542677448,0.9644268774703557,0.9185882352941176,1012
14,Buildings-Grass-Trees-Drives,0.6233333333333333,0.6071428571428571,0.6151315789473685,308
15,Stone-Steel-Towers,0.9166666666666666,0.88,0.8979591836734694,75
