dataset_id,model,head_type,qubits,layers,learning_rate,entanglement,OA,AA,Kappa,Macro-F1,Weighted-F1,training_time_seconds,subset_train,subset_validation,subset_test,device
indian_pines,residual_qnn_q6_l2_lr0.01_entlinear,residual_qnn,6,2,0.01,linear,0.7533333333333333,0.7226851709664209,0.7343761724997946,0.7219480420597839,0.7422774181386463,26.494547128677368,363,363,1350,cpu
indian_pines,residual_qnn_q6_l1_lr0.01_entlinear,residual_qnn,6,1,0.01,linear,0.7474074074074074,0.7079110360360361,0.7279502929402406,0.6929200945565286,0.7321061647863828,17.078034162521362,363,363,1350,cpu
indian_pines,residual_qnn_q6_l1_lr0.01_entring,residual_qnn,6,1,0.01,ring,0.7866666666666666,0.6955729166666667,0.7699129184309339,0.6865718234891729,0.7658135191970443,17.40599489212036,363,363,1350,cpu
indian_pines,residual_qnn_q6_l1_lr0.03_entlinear,residual_qnn,6,1,0.03,linear,0.7651851851851852,0.6742863175675676,0.7468022655561741,0.6682424376569387,0.747844838392629,17.22921919822693,363,363,1350,cpu
indian_pines,residual_qnn_q6_l1_lr0.03_entring,residual_qnn,6,1,0.03,ring,0.7555555555555555,0.6569318181818181,0.7363299976562667,0.645324710952119,0.7377998085963133,17.617815017700195,363,363,1350,cpu
indian_pines,residual_qnn_q6_l2_lr0.03_entlinear,residual_qnn,6,2,0.03,linear,0.7296296296296296,0.6487146805896806,0.7085652538809172,0.6403538988697818,0.70924136355806,26.0833158493042,363,363,1350,cpu
indian_pines,residual_qnn_q6_l2_lr0.01_entring,residual_qnn,6,2,0.01,ring,0.7392592592592593,0.6489527027027027,0.7189241751826372,0.6315030715147938,0.715292674446001,26.989746809005737,363,363,1350,cpu
indian_pines,residual_qnn_q6_l2_lr0.03_entring,residual_qnn,6,2,0.03,ring,0.7274074074074074,0.6254166666666667,0.7060742872390211,0.6116537313845751,0.7090903143805878,26.902580976486206,363,363,1350,cpu
indian_pines,qnn_q6_l2_lr0.01_entlinear,qnn,6,2,0.01,linear,0.277037037037037,0.2383333333333333,0.2195699816383344,0.1703702893650761,0.19430525122396006,26.218810081481934,363,363,1350,cpu
indian_pines,qnn_q6_l1_lr0.01_entring,qnn,6,1,0.01,ring,0.3037037037037037,0.25625,0.248,0.16331538345485164,0.19355897298352787,17.352214097976685,363,363,1350,cpu
indian_pines,qnn_q6_l2_lr0.01_entring,qnn,6,2,0.01,ring,0.30074074074074075,0.25375000000000003,0.24480000000000002,0.1583762922372034,0.18770523524409294,27.05811095237732,363,363,1350,cpu
indian_pines,qnn_q6_l1_lr0.01_entlinear,qnn,6,1,0.01,linear,0.19037037037037038,0.160625,0.12560000000000004,0.09877472369564663,0.11706633919484047,17.507623195648193,363,363,1350,cpu
indian_pines,qnn_q6_l2_lr0.03_entlinear,qnn,6,2,0.03,linear,0.19703703703703704,0.16625,0.13280000000000003,0.08459699124341447,0.10026310073293568,26.220559120178223,363,363,1350,cpu
indian_pines,qnn_q6_l1_lr0.03_entring,qnn,6,1,0.03,ring,0.12148148148148148,0.10569256756756756,0.05261476195547976,0.04977659245516388,0.05535811631049726,17.436235904693604,363,363,1350,cpu
indian_pines,qnn_q6_l2_lr0.03_entring,qnn,6,2,0.03,ring,0.09777777777777778,0.0825,0.025599999999999956,0.03543781139338317,0.042000369058824503,26.99730086326599,363,363,1350,cpu
indian_pines,qnn_q6_l1_lr0.03_entlinear,qnn,6,1,0.03,linear,0.0962962962962963,0.08125,0.02400000000000002,0.03502619257219236,0.041512524530005764,17.30360698699951,363,363,1350,cpu
