0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
17,5,0,0,0,0,0,15,0,0,0,0,0,0,0,0
0,903,0,34,0,0,0,0,0,34,157,14,0,0,0,0
0,12,195,51,1,0,0,0,0,4,334,56,11,0,0,0
0,0,0,186,0,0,0,0,0,0,1,2,0,0,0,0
0,2,0,0,339,12,0,0,0,0,9,6,0,19,0,0
0,0,0,3,1,543,0,0,0,0,15,0,1,21,0,0
0,0,0,0,15,0,7,0,0,0,0,0,0,0,0,0
18,0,0,0,0,0,3,361,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,13,0,3,0,0,0,0,0
0,210,0,0,16,0,0,0,0,333,212,6,0,1,0,0
0,72,0,0,7,2,0,0,0,7,1848,23,1,5,0,0
0,51,11,4,0,0,0,0,0,0,106,301,1,1,0,0
0,0,0,0,0,2,0,0,0,0,4,0,158,0,0,0
0,0,0,0,10,0,0,0,0,0,1,0,0,994,7,0
0,0,0,0,1,3,0,0,0,0,3,0,2,109,190,0
0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,68
