0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
0,4,0,0,2,0,0,31,0,0,0,0,0,0,0,0
0,925,0,0,0,5,0,0,0,70,121,21,0,0,0,0
0,43,393,0,0,1,0,0,0,0,187,40,0,0,0,0
0,33,6,26,1,0,0,0,0,0,2,121,0,0,0,0
0,2,0,0,235,65,0,14,0,1,6,7,0,57,0,0
0,0,0,0,0,558,0,0,0,0,3,0,0,20,3,0
0,0,0,0,7,3,0,12,0,0,0,0,0,0,0,0
0,0,0,0,1,0,0,378,0,0,0,0,0,1,2,0
0,0,0,0,0,9,0,0,0,0,7,0,0,0,0,0
0,145,0,0,0,22,0,0,0,301,302,8,0,0,0,0
0,170,20,0,0,42,0,0,0,39,1648,45,0,0,0,1
0,159,125,0,0,4,0,0,0,0,48,136,0,0,3,0
0,0,1,0,0,66,0,0,0,0,13,8,0,0,76,0
0,0,0,0,0,6,0,0,0,0,0,1,0,966,39,0
0,0,0,0,0,22,0,0,0,0,4,0,0,19,263,0
0,14,0,0,0,0,0,0,0,0,0,2,0,0,3,56
