0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
7,6,0,0,0,0,0,24,0,0,0,0,0,0,0,0
0,852,0,5,0,0,0,0,0,180,76,29,0,0,0,0
0,27,390,14,0,1,0,0,0,8,169,52,3,0,0,0
0,3,13,141,1,0,0,0,0,0,9,22,0,0,0,0
11,0,0,0,273,50,0,0,0,4,6,5,0,38,0,0
0,0,0,0,0,565,0,0,0,0,2,0,0,17,0,0
0,0,0,0,16,2,0,4,0,0,0,0,0,0,0,0
11,0,0,0,1,0,0,369,0,0,0,0,0,0,1,0
0,0,0,1,0,8,0,0,0,0,7,0,0,0,0,0
0,63,0,0,0,6,0,0,0,577,113,12,4,0,0,3
0,158,19,0,8,8,0,0,0,54,1665,44,7,0,0,2
0,77,76,0,0,0,0,0,0,15,44,254,8,0,0,1
0,0,0,0,0,17,0,0,0,0,0,0,146,0,1,0
0,0,0,0,9,0,0,0,0,0,0,2,3,966,31,1
0,0,0,0,0,7,0,0,0,1,1,0,14,57,228,0
0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,73
