class_id,class_name,precision,recall,f1,support
0,Alfalfa,0.0,0.0,0.0,37
1,Corn-notill,0.7155361050328227,0.5726795096322241,0.6361867704280155,1142
2,Corn-mintill,0.6134185303514377,0.5783132530120482,0.5953488372093023,664
3,Corn,0.0,0.0,0.0,189
4,Grass-pasture,0.9902912621359223,0.5271317829457365,0.688026981450253,387
5,Grass-trees,0.6937269372693727,0.9657534246575342,0.807444523979957,584
6,Grass-pasture-mowed,0.0,0.0,0.0,22
7,Hay-windrowed,0.8574660633484162,0.9921465968586387,0.9199029126213593,382
8,Oats,0.0,0.0,0.0,16
9,Soybean-notill,0.5881057268722467,0.6863753213367609,0.6334519572953736,778
10,Soybean-mintill,0.6918489065606361,0.8854961832061069,0.7767857142857143,1965
11,Soybean-clean,0.463519313304721,0.22736842105263158,0.3050847457627119,475
12,Wheat,0.0,0.0,0.0,164
13,Woods,0.7726907630522089,0.950592885375494,0.8524590163934426,1012
14,Buildings-Grass-Trees-Drives,0.5671140939597316,0.5487012987012987,0.5577557755775577,308
15,Stone-Steel-Towers,0.0,0.0,0.0,75
