0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
3,6,0,0,1,0,0,27,0,0,0,0,0,0,0,0
0,788,0,8,3,0,0,0,0,215,109,19,0,0,0,0
0,35,407,1,1,0,0,0,0,5,184,29,2,0,0,0
0,6,10,140,0,0,0,0,0,0,16,17,0,0,0,0
4,2,2,0,297,44,0,0,0,8,1,2,0,27,0,0
0,0,0,0,1,564,0,0,0,0,3,0,0,16,0,0
0,0,0,0,12,3,0,7,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,379,0,0,0,0,0,0,0,0
0,0,4,0,0,7,0,0,0,0,5,0,0,0,0,0
0,34,0,0,1,8,0,0,0,573,153,7,1,0,0,1
0,112,5,0,7,15,0,0,0,54,1734,33,2,0,1,2
0,86,84,0,0,0,0,0,0,30,58,211,5,0,0,1
0,0,0,0,0,20,0,0,0,0,2,0,138,0,4,0
0,0,0,0,8,1,0,0,0,0,0,1,2,963,37,0
0,0,0,0,0,5,0,0,0,0,0,1,6,18,278,0
0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,73
