0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
8,0,0,0,0,0,0,28,0,1,0,0,0,0,0,0
0,719,30,30,1,1,0,1,0,99,201,59,1,0,0,0
0,60,330,13,0,1,0,0,0,14,185,61,0,0,0,0
1,55,23,59,0,13,0,1,0,9,11,17,0,0,0,0
1,2,0,2,271,27,2,6,0,3,2,2,0,60,9,0
0,1,0,1,1,515,0,0,0,9,0,0,2,6,49,0
0,0,0,0,3,0,1,18,0,0,0,0,0,0,0,0
10,0,0,0,4,0,2,366,0,0,0,0,0,0,0,0
0,0,0,0,0,11,0,0,2,0,0,0,2,0,1,0
0,126,17,9,0,0,0,2,0,452,151,21,0,0,0,0
0,241,137,17,9,10,0,1,0,180,1296,72,0,0,2,0
0,134,57,11,0,0,0,0,0,47,84,140,0,0,1,1
0,0,0,0,0,4,0,0,0,0,0,0,149,0,11,0
0,0,0,0,28,4,0,0,0,0,0,0,1,894,85,0
1,0,0,0,4,75,0,0,0,2,8,2,22,66,128,0
0,5,0,0,0,0,0,0,0,2,4,0,0,0,0,64
