0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
7,0,0,0,0,0,0,29,0,1,0,0,0,0,0,0
0,716,29,25,1,1,0,1,0,99,213,56,1,0,0,0
0,73,313,14,0,1,0,0,0,9,195,59,0,0,0,0
0,66,17,52,0,12,0,2,0,10,16,14,0,0,0,0
1,1,0,6,274,20,1,6,0,2,3,1,0,62,10,0
0,0,0,3,1,536,0,0,0,6,0,0,2,3,33,0
0,0,0,0,3,0,1,18,0,0,0,0,0,0,0,0
7,0,0,0,4,0,1,370,0,0,0,0,0,0,0,0
0,0,0,0,0,12,0,0,2,0,0,0,0,0,2,0
0,128,19,9,0,0,0,2,0,450,149,21,0,0,0,0
0,230,107,10,11,10,0,1,0,174,1353,66,1,0,2,0
0,135,46,13,0,0,0,0,0,47,94,139,0,0,1,0
0,0,0,0,0,6,0,0,0,0,0,0,150,0,8,0
0,0,0,0,22,4,0,0,0,0,0,0,1,907,78,0
1,0,0,1,5,68,0,0,0,3,7,0,27,71,125,0
0,7,0,0,0,0,0,0,0,1,4,1,0,0,0,62
