class_id,class_name,precision,recall,f1,support
0,Alfalfa,0.4375,0.1891891891891892,0.2641509433962264,37
1,Corn-notill,0.528023598820059,0.626970227670753,0.5732586068855084,1142
2,Corn-mintill,0.5894538606403014,0.4713855421686747,0.5238493723849372,664
3,Corn,0.39097744360902253,0.2751322751322751,0.32298136645962733,189
4,Grass-pasture,0.8535825545171339,0.7080103359173127,0.7740112994350282,387
5,Grass-trees,0.8,0.9178082191780822,0.8548644338118022,584
6,Grass-pasture-mowed,0.3333333333333333,0.045454545454545456,0.08,22
7,Hay-windrowed,0.8624708624708625,0.9685863874345549,0.9124537607891492,382
8,Oats,1.0,0.125,0.2222222222222222,16
9,Soybean-notill,0.5610972568578554,0.5784061696658098,0.569620253164557,778
10,Soybean-mintill,0.6651917404129793,0.6885496183206107,0.6766691672918229,1965
11,Soybean-clean,0.38935574229691877,0.2926315789473684,0.33413461538461536,475
12,Wheat,0.8241758241758241,0.9146341463414634,0.8670520231213873,164
13,Woods,0.8696069031639502,0.8962450592885376,0.8827250608272507,1012
14,Buildings-Grass-Trees-Drives,0.4826254826254826,0.40584415584415584,0.4409171075837742,308
15,Stone-Steel-Towers,1.0,0.8266666666666667,0.9051094890510949,75
