0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,855,123,23,0,5,0,2,7,124,138,125,0,5,1,0
0,19,608,4,8,0,0,0,15,76,2,20,58,0,0,0
0,0,0,216,0,0,0,0,1,0,0,0,0,0,0,0
0,0,3,0,294,44,73,5,0,12,0,9,8,15,0,0
0,0,0,0,0,686,0,0,0,0,2,0,0,5,17,0
0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,456,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0
4,51,16,23,0,8,0,0,14,603,201,18,1,9,4,0
0,61,411,12,3,58,8,0,9,129,1524,173,21,8,1,17
0,43,108,16,3,0,0,0,16,9,22,334,1,0,7,14
0,0,0,0,0,0,0,0,0,0,0,0,185,0,0,0
0,0,5,0,72,0,0,0,4,0,0,0,0,1129,35,0
0,0,0,0,0,0,0,0,0,0,0,9,0,31,326,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73
