0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,652,261,8,0,0,0,107,35,157,140,41,0,6,0,0
0,67,565,0,1,8,0,0,14,49,61,20,23,1,1,0
0,33,2,151,0,0,0,0,11,0,0,20,0,0,0,0
16,2,5,0,278,0,123,0,2,9,0,4,0,24,0,0
0,0,12,0,0,350,16,0,310,0,0,0,0,5,17,0
0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0
2,0,0,0,0,0,3,453,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0
9,43,122,0,0,0,0,2,9,636,87,36,0,8,0,0
2,133,671,3,0,8,0,30,19,339,1150,37,1,41,1,0
0,86,162,16,0,1,5,0,20,38,6,169,0,22,0,48
0,0,0,0,0,0,0,0,0,0,0,0,185,0,0,0
63,0,0,0,194,0,0,0,6,0,0,0,0,965,17,0
0,0,0,0,0,2,6,0,6,0,0,8,7,54,283,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73
