dataset,model,shot,seed,epoch,train_loss,train_accuracy,val_loss,val_OA,val_AA,val_Kappa,val_Macro-F1,val_Weighted-F1
indian_pines,spectralformer_lite,5,3,1,3.04288763999939,0.05,2.801708459854126,0.05517241379310345,0.078125,0.0011062503142756919,0.03286637931034483,0.031832852046882965
indian_pines,spectralformer_lite,5,3,2,2.929284763336182,0.05,,,,,,
indian_pines,spectralformer_lite,5,3,3,2.7069867134094237,0.175,,,,,,
indian_pines,spectralformer_lite,5,3,4,2.7278504371643066,0.1,,,,,,
indian_pines,spectralformer_lite,5,3,5,2.6743931770324707,0.175,2.466156005859375,0.2620689655172414,0.2375,0.20740740740740737,0.16117023353080512,0.1778430163098539
indian_pines,spectralformer_lite,5,3,6,2.6216475486755373,0.225,,,,,,
indian_pines,spectralformer_lite,5,3,7,2.462043285369873,0.25,,,,,,
indian_pines,spectralformer_lite,5,3,8,2.3690001010894775,0.2875,,,,,,
indian_pines,spectralformer_lite,5,3,9,2.30132942199707,0.275,,,,,,
indian_pines,spectralformer_lite,5,3,10,2.218448305130005,0.325,2.037759304046631,0.42758620689655175,0.40208333333333335,0.3859693877551019,0.33447154565326476,0.3449341193415335
indian_pines,spectralformer_lite,5,3,11,2.0902520179748536,0.35,,,,,,
indian_pines,spectralformer_lite,5,3,12,1.9802295684814453,0.4125,,,,,,
indian_pines,spectralformer_lite,5,3,13,1.8695364952087403,0.4375,,,,,,
indian_pines,spectralformer_lite,5,3,14,1.6765740156173705,0.5625,,,,,,
indian_pines,spectralformer_lite,5,3,15,1.6561001300811768,0.5625,1.6162090301513672,0.5241379310344828,0.5203125000000001,0.4907101043522525,0.4491655084046388,0.46137550605316724
indian_pines,spectralformer_lite,5,3,16,1.6784918308258057,0.5125,,,,,,
indian_pines,spectralformer_lite,5,3,17,1.4776306867599487,0.625,,,,,,
indian_pines,spectralformer_lite,5,3,18,1.3911744594573974,0.6375,,,,,,
indian_pines,spectralformer_lite,5,3,19,1.4118263959884643,0.5875,,,,,,
indian_pines,spectralformer_lite,5,3,20,1.419975471496582,0.5875,1.5491703748703003,0.5379310344827586,0.5734375,0.5080016205813835,0.5014197425381636,0.5060299651951194
indian_pines,spectralformer_lite,5,3,21,1.3740869283676147,0.675,,,,,,
indian_pines,spectralformer_lite,5,3,22,1.3228978633880615,0.6,,,,,,
indian_pines,spectralformer_lite,5,3,23,1.1981497526168823,0.7625,,,,,,
indian_pines,spectralformer_lite,5,3,24,1.2095395803451539,0.7375,,,,,,
indian_pines,spectralformer_lite,5,3,25,1.075694489479065,0.775,1.3483036756515503,0.6344827586206897,0.66875,0.6092041698449021,0.6259211851483271,0.606937761947022
indian_pines,spectralformer_lite,5,3,26,1.088988733291626,0.75,,,,,,
indian_pines,spectralformer_lite,5,3,27,1.0658897161483765,0.8,,,,,,
indian_pines,spectralformer_lite,5,3,28,0.9768011808395386,0.8,,,,,,
indian_pines,spectralformer_lite,5,3,29,1.0400311708450318,0.775,,,,,,
indian_pines,spectralformer_lite,5,3,30,0.9421718835830688,0.7625,1.202024221420288,0.696551724137931,0.7234375,0.6754171754171754,0.6888369363225588,0.6703669974099561
indian_pines,spectralformer_lite,5,3,31,0.9186575889587403,0.825,,,,,,
indian_pines,spectralformer_lite,5,3,32,0.9077473163604737,0.8,,,,,,
indian_pines,spectralformer_lite,5,3,33,0.8283450126647949,0.875,,,,,,
indian_pines,spectralformer_lite,5,3,34,0.7446695566177368,0.8625,,,,,,
indian_pines,spectralformer_lite,5,3,35,0.8005032062530517,0.825,1.1012380123138428,0.7172413793103448,0.74375,0.6976401179941002,0.718106760408046,0.7029892779424205
indian_pines,spectralformer_lite,5,3,36,0.8571709871292115,0.7875,,,,,,
indian_pines,spectralformer_lite,5,3,37,0.7193357944488525,0.85,,,,,,
indian_pines,spectralformer_lite,5,3,38,0.769219720363617,0.875,,,,,,
indian_pines,spectralformer_lite,5,3,39,0.650588309764862,0.875,,,,,,
indian_pines,spectralformer_lite,5,3,40,0.7233919620513916,0.875,1.0649701356887817,0.7517241379310344,0.775,0.7344052101353414,0.7508489733259218,0.7363599956449042
indian_pines,spectralformer_lite,5,3,41,0.6283800601959229,0.9125,,,,,,
indian_pines,spectralformer_lite,5,3,42,0.6598149418830872,0.9,,,,,,
indian_pines,spectralformer_lite,5,3,43,0.5770459413528443,0.95,,,,,,
indian_pines,spectralformer_lite,5,3,44,0.5882506489753723,0.875,,,,,,
indian_pines,spectralformer_lite,5,3,45,0.5323347330093384,0.9375,0.9978189468383789,0.7724137931034483,0.7921875,0.7563645621181263,0.7763289477643698,0.7587078044296492
indian_pines,spectralformer_lite,5,3,46,0.5419098675251007,0.95,,,,,,
indian_pines,spectralformer_lite,5,3,47,0.516999351978302,0.9375,,,,,,
indian_pines,spectralformer_lite,5,3,48,0.5598068237304688,0.8875,,,,,,
indian_pines,spectralformer_lite,5,3,49,0.4746138334274292,0.9375,,,,,,
indian_pines,spectralformer_lite,5,3,50,0.4519966721534729,0.9625,0.9900326728820801,0.7862068965517242,0.80625,0.7711536503411058,0.7885077998850882,0.7712269975743501
indian_pines,spectralformer_lite,5,3,51,0.41029517650604247,0.925,,,,,,
indian_pines,spectralformer_lite,5,3,52,0.48276629447937014,0.95,,,,,,
indian_pines,spectralformer_lite,5,3,53,0.4190202713012695,0.9625,,,,,,
indian_pines,spectralformer_lite,5,3,54,0.3994377374649048,0.9625,,,,,,
indian_pines,spectralformer_lite,5,3,55,0.4493343949317932,0.925,0.987785279750824,0.7793103448275862,0.7984375,0.7638316282384079,0.7771548157089616,0.7665156587133369
indian_pines,spectralformer_lite,5,3,56,0.4210485935211182,0.9375,,,,,,
indian_pines,spectralformer_lite,5,3,57,0.37400676012039186,0.975,,,,,,
indian_pines,spectralformer_lite,5,3,58,0.36012996435165406,0.9875,,,,,,
indian_pines,spectralformer_lite,5,3,59,0.34741694629192355,0.9625,,,,,,
indian_pines,spectralformer_lite,5,3,60,0.3357259273529053,0.975,0.99437415599823,0.7724137931034483,0.79375,0.7565628815628815,0.7662225504496923,0.7587053430249479
