class_id,class_name,precision,recall,f1,support
0,Alfalfa,0.75,1.0,0.8571428571428571,33
1,Corn-notill,0.6515533165407221,0.5491861288039632,0.5960061443932412,1413
2,Corn-mintill,0.3646353646353646,0.44785276073619634,0.40198237885462557,815
3,Corn,0.34775641025641024,0.9774774774774775,0.5130023640661938,222
4,Grass-pasture,0.49559082892416223,0.6004273504273504,0.5429951690821256,468
5,Grass-trees,0.9218500797448166,0.8083916083916084,0.8614008941877794,715
6,Grass-pasture-mowed,0.15833333333333333,1.0,0.2733812949640288,19
7,Hay-windrowed,0.9978165938864629,0.9870410367170627,0.992399565689468,463
8,Oats,0.35294117647058826,1.0,0.5217391304347826,12
9,Soybean-notill,0.3416017009213324,0.5036572622779519,0.40709459459459457,957
10,Soybean-mintill,0.8161764705882353,0.40942622950819674,0.5453056768558951,2440
11,Soybean-clean,0.34725536992840095,0.5034602076124568,0.4110169491525424,578
12,Wheat,0.7983193277310925,1.0,0.8878504672897196,190
13,Woods,0.9379450661241099,0.7376,0.825794894760412,1250
14,Buildings-Grass-Trees-Drives,0.6114180478821363,0.894878706199461,0.7264770240700219,371
15,Stone-Steel-Towers,0.6446280991735537,1.0,0.7839195979899497,78
