class_id,class_name,precision,recall,f1,support
0,Alfalfa,0.23770491803278687,1.0,0.3841059602649007,29
1,Corn-notill,0.6417322834645669,0.4630681818181818,0.5379537953795379,1408
2,Corn-mintill,0.3138888888888889,0.6975308641975309,0.4329501915708812,810
3,Corn,0.848314606741573,0.695852534562212,0.7645569620253164,217
4,Grass-pasture,0.587737843551797,0.6004319654427646,0.594017094017094,463
5,Grass-trees,0.948509485094851,0.49295774647887325,0.6487488415199258,710
6,Grass-pasture-mowed,0.08928571428571429,1.0,0.16393442622950818,15
7,Hay-windrowed,0.7652027027027027,0.9890829694323144,0.8628571428571429,458
8,Oats,0.01818181818181818,1.0,0.03571428571428571,8
9,Soybean-notill,0.5179153094462541,0.6680672268907563,0.5834862385321101,952
10,Soybean-mintill,0.796398891966759,0.4722792607802875,0.5929363237947924,2435
11,Soybean-clean,0.5044776119402985,0.2949389179755672,0.3722466960352423,573
12,Wheat,0.8564814814814815,1.0,0.9226932668329177,185
13,Woods,0.8570159857904085,0.7751004016064257,0.8140025305778152,1245
14,Buildings-Grass-Trees-Drives,0.8871473354231975,0.773224043715847,0.8262773722627738,366
15,Stone-Steel-Towers,0.6033057851239669,1.0,0.7525773195876289,73
