0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
1985,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,3706,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,1956,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,1367,7,0,0,0,0,0,0,0,0,0,0,0
12,0,1,97,2486,4,0,0,0,4,0,54,0,0,0,0
0,0,0,0,0,3939,0,0,0,0,0,0,0,0,0,0
0,0,0,0,6,1,3521,0,0,0,0,0,0,8,1,22
0,0,0,0,2,6,0,8065,1,268,0,2,0,0,2906,1
0,0,0,0,0,0,0,0,6183,0,0,0,0,0,0,0
0,0,50,0,0,0,0,0,40,3117,42,1,0,8,0,0
0,0,0,0,0,0,0,0,0,0,1041,7,0,0,0,0
0,0,0,0,0,0,0,0,1,0,0,1906,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,1,886,9,0,0
0,0,0,0,0,0,0,0,0,7,0,0,13,1029,1,0
0,0,0,11,3,0,0,1654,0,5,0,0,0,0,5575,0
0,0,0,18,0,0,0,0,0,0,0,0,0,6,0,1763
