0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
1942,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,3657,0,0,0,0,0,0,0,0,7,0,0,0,0,0
0,0,1606,1,0,141,0,0,0,157,51,0,0,0,0,0
0,1,0,1373,0,0,0,0,0,0,0,0,0,0,0,0
5,0,106,102,2433,12,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,3918,0,0,21,0,0,0,0,0,0,0
0,0,0,3,0,0,3552,0,0,0,0,0,0,0,0,4
0,0,0,6,0,0,0,4945,0,356,8,0,0,0,5934,2
0,0,0,0,0,0,0,0,5955,0,228,0,0,0,0,0
0,0,43,0,0,14,0,0,5,2667,515,0,0,14,0,0
0,0,0,2,0,0,0,0,0,5,1041,0,0,0,0,0
0,0,312,0,0,24,0,0,15,0,0,1556,0,0,0,0
0,0,0,0,0,0,0,0,0,4,0,0,692,200,0,0
0,0,0,0,0,0,0,0,0,11,0,0,0,1039,0,0
0,0,0,49,0,0,0,506,0,0,0,0,0,0,6684,9
0,0,0,22,0,0,137,0,0,0,0,0,0,3,0,1625
