dataset,model,shot,seed,epoch,train_loss,train_accuracy,val_loss,val_OA,val_AA,val_Kappa,val_Macro-F1,val_Weighted-F1
salinas,spectralformer_lite,10,0,1,3.0130307197570803,0.13125,2.7150473594665527,0.16875,0.16875,0.11333333333333329,0.10226481215445563,0.10226481215445563
salinas,spectralformer_lite,10,0,2,2.772701692581177,0.18125,,,,,,
salinas,spectralformer_lite,10,0,3,2.5571552753448485,0.2125,,,,,,
salinas,spectralformer_lite,10,0,4,2.3839064598083497,0.25,,,,,,
salinas,spectralformer_lite,10,0,5,2.1486053228378297,0.39375,1.761940598487854,0.7125,0.7125,0.6933333333333334,0.6672812570350933,0.6672812570350933
salinas,spectralformer_lite,10,0,6,1.8707549095153808,0.475,,,,,,
salinas,spectralformer_lite,10,0,7,1.7521724224090576,0.50625,,,,,,
salinas,spectralformer_lite,10,0,8,1.5981337070465087,0.50625,,,,,,
salinas,spectralformer_lite,10,0,9,1.4560269594192505,0.6875,,,,,,
salinas,spectralformer_lite,10,0,10,1.3296953916549683,0.6375,1.0495262145996094,0.8125,0.8125,0.8,0.8038610494038125,0.8038610494038124
salinas,spectralformer_lite,10,0,11,1.2593232154846192,0.7,,,,,,
salinas,spectralformer_lite,10,0,12,1.1067258358001708,0.725,,,,,,
salinas,spectralformer_lite,10,0,13,1.0313749194145203,0.74375,,,,,,
salinas,spectralformer_lite,10,0,14,0.9005078911781311,0.8375,,,,,,
salinas,spectralformer_lite,10,0,15,0.9042595386505127,0.79375,0.7037740349769592,0.89375,0.89375,0.8866666666666667,0.8901475544971473,0.8901475544971472
salinas,spectralformer_lite,10,0,16,0.8483767747879029,0.86875,,,,,,
salinas,spectralformer_lite,10,0,17,0.8068694591522216,0.8375,,,,,,
salinas,spectralformer_lite,10,0,18,0.7865000486373901,0.85,,,,,,
salinas,spectralformer_lite,10,0,19,0.6948538184165954,0.88125,,,,,,
salinas,spectralformer_lite,10,0,20,0.6879673600196838,0.875,0.5112507343292236,0.90625,0.90625,0.9,0.899947640079219,0.899947640079219
salinas,spectralformer_lite,10,0,21,0.6659412503242492,0.875,,,,,,
salinas,spectralformer_lite,10,0,22,0.6172078013420105,0.875,,,,,,
salinas,spectralformer_lite,10,0,23,0.5998293399810791,0.86875,,,,,,
salinas,spectralformer_lite,10,0,24,0.5600768685340881,0.89375,,,,,,
salinas,spectralformer_lite,10,0,25,0.5402779221534729,0.89375,0.3851301670074463,0.93125,0.9312499999999999,0.9266666666666666,0.9249848591953854,0.9249848591953855
salinas,spectralformer_lite,10,0,26,0.5059003114700318,0.875,,,,,,
salinas,spectralformer_lite,10,0,27,0.4324427962303162,0.9375,,,,,,
salinas,spectralformer_lite,10,0,28,0.44657543301582336,0.9375,,,,,,
salinas,spectralformer_lite,10,0,29,0.44183984994888303,0.91875,,,,,,
salinas,spectralformer_lite,10,0,30,0.3985284149646759,0.93125,0.30078548192977905,0.95,0.95,0.9466666666666667,0.9489773025915171,0.9489773025915171
salinas,spectralformer_lite,10,0,31,0.38498143553733827,0.93125,,,,,,
salinas,spectralformer_lite,10,0,32,0.36980722546577455,0.925,,,,,,
salinas,spectralformer_lite,10,0,33,0.36607679128646853,0.9375,,,,,,
salinas,spectralformer_lite,10,0,34,0.338251394033432,0.93125,,,,,,
salinas,spectralformer_lite,10,0,35,0.32466505765914916,0.98125,0.2626943588256836,0.9375,0.9375,0.9333333333333333,0.9279448621553885,0.9279448621553884
salinas,spectralformer_lite,10,0,36,0.3180261552333832,0.95,,,,,,
salinas,spectralformer_lite,10,0,37,0.3365501582622528,0.94375,,,,,,
salinas,spectralformer_lite,10,0,38,0.33799012899398806,0.925,,,,,,
salinas,spectralformer_lite,10,0,39,0.3069339215755463,0.94375,,,,,,
salinas,spectralformer_lite,10,0,40,0.2698334395885468,0.93125,0.22166402637958527,0.94375,0.9437500000000001,0.94,0.9416510025062657,0.9416510025062657
salinas,spectralformer_lite,10,0,41,0.28089097142219543,0.95,,,,,,
salinas,spectralformer_lite,10,0,42,0.2578215539455414,0.94375,,,,,,
salinas,spectralformer_lite,10,0,43,0.26816152334213256,0.94375,,,,,,
salinas,spectralformer_lite,10,0,44,0.2380247712135315,0.95,,,,,,
salinas,spectralformer_lite,10,0,45,0.2523075997829437,0.9625,0.1970597803592682,0.95,0.95,0.9466666666666667,0.9489773025915171,0.9489773025915171
salinas,spectralformer_lite,10,0,46,0.25320685505867,0.9625,,,,,,
salinas,spectralformer_lite,10,0,47,0.2559660017490387,0.95,,,,,,
salinas,spectralformer_lite,10,0,48,0.24146063327789308,0.9375,,,,,,
salinas,spectralformer_lite,10,0,49,0.23180420100688934,0.9625,,,,,,
salinas,spectralformer_lite,10,0,50,0.2232176512479782,0.975,0.17982038855552673,0.95,0.95,0.9466666666666667,0.9470676691729323,0.9470676691729324
salinas,spectralformer_lite,10,0,51,0.2126057744026184,0.9625,,,,,,
salinas,spectralformer_lite,10,0,52,0.2113344967365265,0.94375,,,,,,
salinas,spectralformer_lite,10,0,53,0.16687978506088258,0.98125,,,,,,
salinas,spectralformer_lite,10,0,54,0.19222999811172486,0.9625,,,,,,
