dataset,model,shot,seed,epoch,train_loss,train_accuracy,val_loss,val_OA,val_AA,val_Kappa,val_Macro-F1,val_Weighted-F1
salinas,ssrn_lite,10,1,1,2.811708927154541,0.06875,2.7620797157287598,0.06875,0.06875,0.00666666666666671,0.021342844202898552,0.021342844202898552
salinas,ssrn_lite,10,1,2,2.7217254638671875,0.0875,,,,,,
salinas,ssrn_lite,10,1,3,2.6011735439300536,0.13125,,,,,,
salinas,ssrn_lite,10,1,4,2.5452159881591796,0.1375,,,,,,
salinas,ssrn_lite,10,1,5,2.5437667846679686,0.16875,2.468644618988037,0.1875,0.1875,0.1333333333333333,0.1129138155751059,0.1129138155751059
salinas,ssrn_lite,10,1,6,2.4961552143096926,0.15625,,,,,,
salinas,ssrn_lite,10,1,7,2.4528258800506593,0.1625,,,,,,
salinas,ssrn_lite,10,1,8,2.4263474464416506,0.1875,,,,,,
salinas,ssrn_lite,10,1,9,2.3769875526428224,0.24375,,,,,,
salinas,ssrn_lite,10,1,10,2.340388536453247,0.29375,2.274474620819092,0.29375,0.29375,0.2466666666666667,0.19363286906891558,0.19363286906891558
salinas,ssrn_lite,10,1,11,2.2853658199310303,0.29375,,,,,,
salinas,ssrn_lite,10,1,12,2.2560686588287355,0.275,,,,,,
salinas,ssrn_lite,10,1,13,2.2577850818634033,0.275,,,,,,
salinas,ssrn_lite,10,1,14,2.2252574443817137,0.2625,,,,,,
salinas,ssrn_lite,10,1,15,2.1830240726470946,0.34375,2.0826096534729004,0.40625,0.40625,0.3666666666666667,0.29275616840361446,0.29275616840361446
salinas,ssrn_lite,10,1,16,2.142283821105957,0.34375,,,,,,
salinas,ssrn_lite,10,1,17,2.131520986557007,0.375,,,,,,
salinas,ssrn_lite,10,1,18,2.1190627098083494,0.34375,,,,,,
salinas,ssrn_lite,10,1,19,2.040079402923584,0.4,,,,,,
salinas,ssrn_lite,10,1,20,2.062994194030762,0.3875,2.028801441192627,0.44375,0.44375,0.4066666666666666,0.3637556096437675,0.3637556096437675
salinas,ssrn_lite,10,1,21,2.0494369506835937,0.38125,,,,,,
salinas,ssrn_lite,10,1,22,1.9971457242965698,0.43125,,,,,,
salinas,ssrn_lite,10,1,23,1.9625540733337403,0.4875,,,,,,
salinas,ssrn_lite,10,1,24,1.9494684934616089,0.4,,,,,,
salinas,ssrn_lite,10,1,25,2.0076394081115723,0.41875,1.913593053817749,0.50625,0.5062500000000001,0.4733333333333334,0.4397779475904476,0.43977794759044764
salinas,ssrn_lite,10,1,26,1.916572666168213,0.4625,,,,,,
salinas,ssrn_lite,10,1,27,1.8901473045349122,0.475,,,,,,
salinas,ssrn_lite,10,1,28,1.8882542848587036,0.48125,,,,,,
salinas,ssrn_lite,10,1,29,1.8736477136611938,0.5125,,,,,,
salinas,ssrn_lite,10,1,30,1.8241907596588134,0.5,1.7754913568496704,0.64375,0.64375,0.62,0.5897570429978419,0.589757042997842
salinas,ssrn_lite,10,1,31,1.8490988254547118,0.50625,,,,,,
salinas,ssrn_lite,10,1,32,1.8208692073822021,0.55625,,,,,,
salinas,ssrn_lite,10,1,33,1.8721866846084594,0.5,,,,,,
salinas,ssrn_lite,10,1,34,1.7946857213974,0.49375,,,,,,
salinas,ssrn_lite,10,1,35,1.744568157196045,0.5875,1.6850742101669312,0.69375,0.69375,0.6733333333333333,0.6350276537627206,0.6350276537627206
salinas,ssrn_lite,10,1,36,1.7203639030456543,0.5625,,,,,,
salinas,ssrn_lite,10,1,37,1.7663111686706543,0.55625,,,,,,
salinas,ssrn_lite,10,1,38,1.7171256065368652,0.49375,,,,,,
salinas,ssrn_lite,10,1,39,1.7120329856872558,0.5875,,,,,,
salinas,ssrn_lite,10,1,40,1.7127321720123292,0.5875,1.621474027633667,0.76875,0.7687499999999999,0.7533333333333333,0.7332375890533852,0.7332375890533852
salinas,ssrn_lite,10,1,41,1.7309001445770265,0.58125,,,,,,
salinas,ssrn_lite,10,1,42,1.6287956237792969,0.6125,,,,,,
salinas,ssrn_lite,10,1,43,1.6014326572418214,0.60625,,,,,,
salinas,ssrn_lite,10,1,44,1.6319266080856323,0.60625,,,,,,
salinas,ssrn_lite,10,1,45,1.6292568445205688,0.5625,1.4595904350280762,0.68125,0.68125,0.6599999999999999,0.603159236266428,0.6031592362664279
salinas,ssrn_lite,10,1,46,1.5830697774887086,0.56875,,,,,,
salinas,ssrn_lite,10,1,47,1.578091287612915,0.56875,,,,,,
salinas,ssrn_lite,10,1,48,1.6439267158508302,0.5875,,,,,,
salinas,ssrn_lite,10,1,49,1.581245231628418,0.63125,,,,,,
salinas,ssrn_lite,10,1,50,1.5172964096069337,0.69375,1.4843695163726807,0.7,0.7,0.6799999999999999,0.655532068723405,0.6555320687234051
salinas,ssrn_lite,10,1,51,1.4695263385772706,0.64375,,,,,,
salinas,ssrn_lite,10,1,52,1.5640079259872437,0.675,,,,,,
salinas,ssrn_lite,10,1,53,1.5125919818878173,0.63125,,,,,,
salinas,ssrn_lite,10,1,54,1.4616047143936157,0.6625,,,,,,
salinas,ssrn_lite,10,1,55,1.4776627540588378,0.6625,1.3382450342178345,0.86875,0.86875,0.86,0.8592700624494422,0.8592700624494422
salinas,ssrn_lite,10,1,56,1.4974698543548584,0.65,,,,,,
salinas,ssrn_lite,10,1,57,1.433573603630066,0.70625,,,,,,
salinas,ssrn_lite,10,1,58,1.4581439018249511,0.65,,,,,,
