class_id,class_name,precision,recall,f1,support
0,Brocoli_green_weeds_1,1.0,1.0,1.0,1989
1,Brocoli_green_weeds_2,1.0,1.0,1.0,3706
2,Fallow,0.9804511278195489,1.0,0.9901290812452543,1956
3,Fallow_rough_plow,0.8943248532289628,0.9978165938864629,0.9432404540763674,1374
4,Fallow_smooth,0.9984139571768438,0.9473288186606471,0.9722007722007722,2658
5,Stubble,0.9997461284589998,0.9997461284589998,0.9997461284589998,3939
6,Celery,1.0,0.9985951109862321,0.9992970617179812,3559
7,Grapes_untrained,0.8943908238914533,0.5683050395520398,0.695,11251
8,Soil_vinyard_develop,0.9948511665325824,1.0,0.997418938538474,6183
9,Corn_senesced_green_weeds,0.9715370018975332,0.9429097605893186,0.9570093457943926,3258
10,Lettuce_romaine_4wk,0.9472727272727273,0.9942748091603053,0.9702048417132216,1048
11,Lettuce_romaine_5wk,0.9984293193717277,1.0,0.9992140424417082,1907
12,Lettuce_romaine_6wk,1.0,0.9955357142857143,0.9977628635346756,896
13,Lettuce_romaine_7wk,0.9502262443438914,1.0,0.974477958236659,1050
14,Vinyard_untrained,0.5780515911709955,0.89969646799117,0.7038696098008527,7248
15,Vinyard_vertical_trellis,0.9977233921457029,0.9809736989367656,0.9892776523702032,1787
