class_id,class_name,precision,recall,f1,support
0,Brocoli_green_weeds_1,0.9740196078431372,0.9989944695827049,0.9863489699677339,1989
1,Brocoli_green_weeds_2,0.999452804377565,0.9856988667026444,0.9925281891047412,3706
2,Fallow,0.9705689993459777,0.7586912065439673,0.8516499282639886,1956
3,Fallow_rough_plow,0.8868046571798189,0.9978165938864629,0.939041095890411,1374
4,Fallow_smooth,0.9715430861723446,0.9119638826185101,0.9408111779545896,2658
5,Stubble,0.996962794229309,1.0,0.9984790874524715,3939
6,Celery,0.9858293970547374,0.9969092441697106,0.9913383626711372,3559
7,Grapes_untrained,0.9523809523809523,0.005332859301395432,0.01060632844263744,11251
8,Soil_vinyard_develop,0.9916261932674594,0.9576257480187611,0.9743294388678624,6183
9,Corn_senesced_green_weeds,0.9370932754880694,0.7955801104972375,0.8605577689243028,3258
10,Lettuce_romaine_4wk,0.5021919142717973,0.9837786259541985,0.6649467913576266,1048
11,Lettuce_romaine_5wk,0.8656377666817976,1.0,0.9279805352798054,1907
12,Lettuce_romaine_6wk,1.0,0.9810267857142857,0.9904225352112676,896
13,Lettuce_romaine_7wk,0.8968185726569218,0.9933333333333333,0.9426118391323994,1050
14,Vinyard_untrained,0.39846069268829026,1.0,0.569856120764211,7248
15,Vinyard_vertical_trellis,0.9994138335287222,0.9541130386121992,0.9762381906670484,1787
