dataset,model,shot,seed,epoch,train_loss,train_ce_loss,train_supcon_loss,train_accuracy,val_loss,val_OA,val_AA,val_Kappa,val_Macro-F1,val_Weighted-F1
salinas,spectral_qnn_gated_supcon,5,0,1,3.0955671787261965,2.9565735340118406,0.6949680805206299,0.025,2.7450204610824587,0.1625,0.1625,0.10666666666666669,0.12799096065225096,0.12799096065225096
salinas,spectral_qnn_gated_supcon,5,0,2,2.7500209331512453,2.6215054988861084,0.6425770938396453,0.1375,2.455058681964874,0.25625,0.25625,0.20666666666666667,0.21388888888888888,0.21388888888888885
salinas,spectral_qnn_gated_supcon,5,0,3,2.4506514072418213,2.3327653884887694,0.5894302606582642,0.3125,2.195200169086456,0.3625,0.3625,0.31999999999999995,0.30652196223316913,0.3065219622331691
salinas,spectral_qnn_gated_supcon,5,0,4,2.1988181591033937,2.0714426279067992,0.6368777632713318,0.3625,1.9609948873519898,0.475,0.475,0.43999999999999995,0.42498193504151915,0.42498193504151915
salinas,spectral_qnn_gated_supcon,5,0,5,1.9616652965545653,1.838101077079773,0.6178208470344544,0.5,1.7511690974235534,0.5875,0.5875,0.56,0.5487748795277887,0.5487748795277886
salinas,spectral_qnn_gated_supcon,5,0,6,1.7434223890304565,1.6287160158157348,0.5735317885875701,0.7,1.5602522373199463,0.68125,0.68125,0.6599999999999999,0.6327729621135381,0.6327729621135381
salinas,spectral_qnn_gated_supcon,5,0,7,1.5881183624267579,1.4403673648834228,0.7387550711631775,0.725,1.3892428636550904,0.725,0.725,0.7066666666666667,0.6624891395764261,0.6624891395764261
salinas,spectral_qnn_gated_supcon,5,0,8,1.419382381439209,1.2784590482711793,0.7046166598796845,0.75,1.2358189940452575,0.7375,0.7375,0.72,0.6774405315752319,0.6774405315752319
salinas,spectral_qnn_gated_supcon,5,0,9,1.2372941017150878,1.1225916385650634,0.5735123813152313,0.75,1.0998132348060607,0.75625,0.7562500000000001,0.74,0.7023720016367075,0.7023720016367074
salinas,spectral_qnn_gated_supcon,5,0,10,1.0961025834083558,0.9908636331558227,0.5261948704719543,0.7875,0.9805718839168549,0.7625,0.7625,0.7466666666666666,0.7151724196095393,0.7151724196095393
salinas,spectral_qnn_gated_supcon,5,0,11,1.0272663474082946,0.8758361101150512,0.7571511149406434,0.825,0.877397608757019,0.79375,0.79375,0.78,0.7592695874816617,0.7592695874816617
salinas,spectral_qnn_gated_supcon,5,0,12,0.920176088809967,0.7730029582977295,0.7358656048774719,0.85,0.7892901301383972,0.8125,0.8125,0.8,0.7799766581887324,0.7799766581887325
salinas,spectral_qnn_gated_supcon,5,0,13,0.8247785329818725,0.6891749024391174,0.6780181705951691,0.8625,0.7144635140895843,0.8375,0.8375,0.8266666666666667,0.8160457334847815,0.8160457334847816
salinas,spectral_qnn_gated_supcon,5,0,14,0.7550431013107299,0.6154345393180847,0.6980427861213684,0.9,0.6499323725700379,0.8625,0.8625,0.8533333333333333,0.854528248167954,0.8545282481679539
salinas,spectral_qnn_gated_supcon,5,0,15,0.6378183960914612,0.5515275239944458,0.43145438432693484,0.9125,0.5977549701929092,0.8625,0.8625,0.8533333333333333,0.854528248167954,0.8545282481679539
salinas,spectral_qnn_gated_supcon,5,0,16,0.6244081139564515,0.4969665765762329,0.6372076630592346,0.925,0.5510611325502396,0.88125,0.88125,0.8733333333333333,0.875507558209764,0.8755075582097639
salinas,spectral_qnn_gated_supcon,5,0,17,0.5344084799289703,0.45045297741889956,0.41977755427360536,0.9375,0.5116632387042046,0.89375,0.89375,0.8866666666666667,0.8910929004775754,0.8910929004775754
salinas,spectral_qnn_gated_supcon,5,0,18,0.5337417006492615,0.41313462257385253,0.6030353367328644,0.9625,0.4804301083087921,0.89375,0.89375,0.8866666666666667,0.8848798872695931,0.8848798872695932
salinas,spectral_qnn_gated_supcon,5,0,19,0.4788198351860046,0.3759210705757141,0.5144937872886658,0.975,0.45104336738586426,0.8875,0.8875,0.88,0.884727262116968,0.884727262116968
salinas,spectral_qnn_gated_supcon,5,0,20,0.5022369682788849,0.3491812825202942,0.76527841091156,0.975,0.42932402044534684,0.89375,0.89375,0.8866666666666667,0.888668557838155,0.888668557838155
salinas,spectral_qnn_gated_supcon,5,0,21,0.40345619320869447,0.3208379030227661,0.4130914270877838,0.9875,0.40903430730104445,0.89375,0.89375,0.8866666666666667,0.8913634632481382,0.8913634632481381
salinas,spectral_qnn_gated_supcon,5,0,22,0.42053899765014646,0.30147271752357485,0.5953313380479812,0.975,0.3939295783638954,0.89375,0.89375,0.8866666666666667,0.8855637074483824,0.8855637074483823
salinas,spectral_qnn_gated_supcon,5,0,23,0.4227538347244263,0.2761253654956818,0.7331423282623291,0.975,0.3766069456934929,0.9,0.9,0.8933333333333333,0.8973585646379764,0.8973585646379764
salinas,spectral_qnn_gated_supcon,5,0,24,0.3723501682281494,0.2549424946308136,0.5870383620262146,0.975,0.36453356593847275,0.9,0.9,0.8933333333333333,0.8973585646379764,0.8973585646379764
