class_id,class_name,precision,recall,f1,support,accuracy
0,Brocoli_green_weeds_1,1.0,1.0,1.0,1994,1.0
1,Brocoli_green_weeds_2,1.0,1.0,1.0,3711,1.0
2,Fallow,0.9929113924050633,1.0,0.9964430894308943,1961,1.0
3,Fallow_rough_plow,0.9189551239115874,0.9949238578680203,0.9554317548746518,1379,0.9949238578680203
4,Fallow_smooth,0.9988202909948879,0.9538114907998498,0.9757971571263926,2663,0.9538114907998498
5,Stubble,0.9482675649663138,0.9992393509127789,0.9730864197530864,3944,0.9992393509127789
6,Celery,1.0,0.9393939393939394,0.96875,3564,0.9393939393939394
7,Grapes_untrained,0.6343818720718998,0.5894633972992182,0.611098319134239,11256,0.5894633972992182
8,Soil_vinyard_develop,0.9943757030371203,1.0,0.9971799210377891,6188,1.0
9,Corn_senesced_green_weeds,0.9934024505183789,0.9690468893656145,0.9810735339745579,3263,0.9690468893656145
10,Lettuce_romaine_4wk,0.9443447037701975,0.9990503323836657,0.9709275496077526,1053,0.9990503323836657
11,Lettuce_romaine_5wk,0.9947671376242805,0.9942468619246861,0.9945069317290086,1912,0.9942468619246861
12,Lettuce_romaine_6wk,0.9541899441340782,0.9478357380688124,0.9510022271714922,901,0.9478357380688124
13,Lettuce_romaine_7wk,0.9596928982725528,0.9478672985781991,0.9537434430138293,1055,0.9478672985781991
14,Vinyard_untrained,0.42601565411852405,0.4727698883220736,0.4481767089269377,7253,0.4727698883220736
15,Vinyard_vertical_trellis,0.9994422755158952,1.0,0.999721059972106,1792,1.0
