dataset,model,shot,seed,epoch,train_loss,train_ce_loss,train_supcon_loss,train_accuracy,val_loss,val_OA,val_AA,val_Kappa,val_Macro-F1,val_Weighted-F1
salinas,spectral_qnn_gated_supcon,5,4,1,2.875694465637207,2.7905582427978515,0.42568100690841676,0.15,2.554108476638794,0.20625,0.20625000000000002,0.15333333333333332,0.16217948717948716,0.1621794871794872
salinas,spectral_qnn_gated_supcon,5,4,2,2.548886299133301,2.4741398811340334,0.37373222410678864,0.2,2.288339984416962,0.34375,0.34375,0.30000000000000004,0.28284423179160023,0.28284423179160023
salinas,spectral_qnn_gated_supcon,5,4,3,2.2932307720184326,2.198137378692627,0.47546698451042174,0.3625,2.038364565372467,0.45625,0.45625,0.42000000000000004,0.37700491608162384,0.3770049160816239
salinas,spectral_qnn_gated_supcon,5,4,4,2.039892625808716,1.9418243885040283,0.49034103751182556,0.4625,1.8037195801734924,0.5875,0.5874999999999999,0.56,0.5164020721273297,0.5164020721273297
salinas,spectral_qnn_gated_supcon,5,4,5,1.7606564283370971,1.6999695539474486,0.303434157371521,0.6375,1.585363745689392,0.74375,0.7437499999999999,0.7266666666666667,0.7154835665255408,0.7154835665255408
salinas,spectral_qnn_gated_supcon,5,4,6,1.5742963075637817,1.4785450220108032,0.47875651717185974,0.8875,1.3869811177253724,0.88125,0.88125,0.8733333333333333,0.8705321542492596,0.8705321542492594
salinas,spectral_qnn_gated_supcon,5,4,7,1.373203420639038,1.2798717260360717,0.466658416390419,0.9375,1.210077691078186,0.89375,0.89375,0.8866666666666667,0.8831218671679198,0.88312186716792
salinas,spectral_qnn_gated_supcon,5,4,8,1.188437247276306,1.1046920776367188,0.41872588992118837,0.9625,1.053270298242569,0.90625,0.90625,0.9,0.9003952188162714,0.9003952188162716
salinas,spectral_qnn_gated_supcon,5,4,9,1.071309494972229,0.94642653465271,0.6244147896766663,0.975,0.9182331085205078,0.91875,0.91875,0.9133333333333333,0.9145469664718553,0.9145469664718554
salinas,spectral_qnn_gated_supcon,5,4,10,0.8910504817962647,0.8109687089920044,0.4004088699817657,0.9875,0.8002239763736725,0.93125,0.93125,0.9266666666666666,0.9274628879892037,0.9274628879892038
salinas,spectral_qnn_gated_supcon,5,4,11,0.8167221546173096,0.6962770819664001,0.6022253692150116,0.9875,0.6995676398277283,0.9375,0.9375,0.9333333333333333,0.9336336178441441,0.9336336178441442
salinas,spectral_qnn_gated_supcon,5,4,12,0.655666708946228,0.5948168277740479,0.30424940437078474,1.0,0.6157129585742951,0.9375,0.9375,0.9333333333333333,0.9336336178441441,0.9336336178441442
salinas,spectral_qnn_gated_supcon,5,4,13,0.6099193930625916,0.5115756571292878,0.4917187035083771,0.9875,0.544848906993866,0.94375,0.94375,0.94,0.9398992820045452,0.9398992820045452
salinas,spectral_qnn_gated_supcon,5,4,14,0.5399777233600617,0.44012975692749023,0.4992398262023926,0.9875,0.487960222363472,0.94375,0.94375,0.94,0.9398992820045452,0.9398992820045452
salinas,spectral_qnn_gated_supcon,5,4,15,0.44331733584403993,0.3829136252403259,0.3020185142755508,0.9875,0.4411732032895088,0.94375,0.94375,0.94,0.9398992820045452,0.9398992820045452
salinas,spectral_qnn_gated_supcon,5,4,16,0.44854758977890014,0.3363441705703735,0.5610170662403107,1.0,0.4036871314048767,0.94375,0.94375,0.94,0.9398992820045452,0.9398992820045452
salinas,spectral_qnn_gated_supcon,5,4,17,0.3864732921123505,0.3001458585262299,0.43163719177246096,1.0,0.3721899911761284,0.94375,0.94375,0.94,0.9398992820045452,0.9398992820045452
salinas,spectral_qnn_gated_supcon,5,4,18,0.3526397943496704,0.26652572453022005,0.43057036101818086,1.0,0.34775038808584213,0.94375,0.94375,0.94,0.9398992820045452,0.9398992820045452
salinas,spectral_qnn_gated_supcon,5,4,19,0.316278475522995,0.23935580253601074,0.3846133783459663,1.0,0.3265926852822304,0.94375,0.94375,0.94,0.9398992820045452,0.9398992820045452
salinas,spectral_qnn_gated_supcon,5,4,20,0.30756773948669436,0.2172114998102188,0.4517811894416809,1.0,0.30818025693297385,0.94375,0.94375,0.94,0.9398992820045452,0.9398992820045452
salinas,spectral_qnn_gated_supcon,5,4,21,0.2570958316326141,0.19754629731178283,0.29774766266345976,1.0,0.2920931950211525,0.94375,0.94375,0.94,0.9398992820045452,0.9398992820045452
salinas,spectral_qnn_gated_supcon,5,4,22,0.2698941260576248,0.18202029466629027,0.4393691778182983,1.0,0.2781223751604557,0.94375,0.94375,0.94,0.9398992820045452,0.9398992820045452
salinas,spectral_qnn_gated_supcon,5,4,23,0.24091421961784362,0.16756900846958162,0.3667260468006134,1.0,0.2673359505832195,0.94375,0.94375,0.94,0.9398992820045452,0.9398992820045452
